device_eui;tijdstip;verbruik
7CC6C40800001265;2022103005;5
7CC6C40800001265;2022103006;6
7CC6C40800001265;2022103007;5
7CC6C40800001265;2022103008;5
7CC6C40800001265;2022103009;6
7CC6C40800001265;2022103010;5
7CC6C40800001265;2022103011;6
7CC6C40800001265;2022103012;5
7CC6C40800001265;2022103013;5
7CC6C40800001265;2022103014;6
7CC6C40800001265;2022103015;5
7CC6C40800001265;2022103016;5
7CC6C40800001265;2022103017;6
7CC6C40800001265;2022103018;5
7CC6C40800001265;2022103019;5
7CC6C40800001265;2022103020;6
7CC6C40800001265;2022103021;5
7CC6C40800001265;2022103022;6
7CC6C40800001265;2022103023;5
7CC6C40800001265;2022103100;5
7CC6C40800001265;2022103101;6
7CC6C40800001265;2022103102;5
7CC6C40800001265;2022103103;6
7CC6C40800001265;2022103104;5
7CC6C40800001265;2022103105;6
7CC6C40800001265;2022103106;5
7CC6C40800001265;2022103107;6
7CC6C40800001265;2022103108;5
7CC6C40800001265;2022103109;5
7CC6C40800001265;2022103110;6
7CC6C40800001265;2022103111;182
7CC6C40800001265;2022103112;5
7CC6C40800001265;2022103113;6
7CC6C40800001265;2022103114;5
7CC6C40800001265;2022103115;6
7CC6C40800001265;2022103116;5
7CC6C40800001265;2022103117;6
7CC6C40800001265;2022103118;5
7CC6C40800001265;2022103119;172
7CC6C40800001265;2022103120;779
7CC6C40800001265;2022103121;725
7CC6C40800001265;2022103122;634
7CC6C40800001265;2022103123;571
7CC6C40800001265;2022110100;491
7CC6C40800001265;2022110101;537
7CC6C40800001265;2022110102;512
7CC6C40800001265;2022110103;383
7CC6C40800001265;2022110104;318
7CC6C40800001265;2022110105;371
7CC6C40800001265;2022110106;418
7CC6C40800001265;2022110107;446
7CC6C40800001265;2022110108;348
7CC6C40800001265;2022110109;429
7CC6C40800001265;2022110110;628
7CC6C40800001265;2022110111;759
7CC6C40800001265;2022110112;764
7CC6C40800001265;2022110113;782
7CC6C40800001265;2022110114;796
7CC6C40800001265;2022110115;782
7CC6C40800001265;2022110116;762
7CC6C40800001265;2022110117;759
7CC6C40800001265;2022110118;813
7CC6C40800001265;2022110119;763
7CC6C40800001265;2022110120;752
7CC6C40800001265;2022110121;737
7CC6C40800001265;2022110122;737
7CC6C40800001265;2022110123;653
7CC6C40800001265;2022110200;759
7CC6C40800001265;2022110201;609
7CC6C40800001265;2022110202;628
7CC6C40800001265;2022110203;627
7CC6C40800001265;2022110204;571
7CC6C40800001265;2022110205;560
7CC6C40800001265;2022110206;469
7CC6C40800001265;2022110207;530
7CC6C40800001265;2022110208;797
7CC6C40800001265;2022110209;803
7CC6C40800001265;2022110210;842
7CC6C40800001265;2022110211;803
7CC6C40800001265;2022110212;787
7CC6C40800001265;2022110213;789
7CC6C40800001265;2022110214;813
7CC6C40800001265;2022110215;751
7CC6C40800001265;2022110216;841
7CC6C40800001265;2022110217;738
7CC6C40800001265;2022110218;956
7CC6C40800001265;2022110219;754
7CC6C40800001265;2022110220;740
7CC6C40800001265;2022110221;726
7CC6C40800001265;2022110222;646
7CC6C40800001265;2022110223;708
7CC6C40800001265;2022110300;573
7CC6C40800001265;2022110301;592
7CC6C40800001265;2022110302;571
7CC6C40800001265;2022110303;461
7CC6C40800001265;2022110304;464
7CC6C40800001265;2022110305;467
7CC6C40800001265;2022110306;515
7CC6C40800001265;2022110307;508
7CC6C40800001265;2022110308;457
7CC6C40800001265;2022110309;482
7CC6C40800001265;2022110310;787
7CC6C40800001265;2022110311;792
7CC6C40800001265;2022110312;793
7CC6C40800001265;2022110313;793
7CC6C40800001265;2022110314;788
7CC6C40800001265;2022110315;793
7CC6C40800001265;2022110316;657
7CC6C40800001265;2022110317;764
7CC6C40800001265;2022110318;889
7CC6C40800001265;2022110319;808
7CC6C40800001265;2022110320;752
7CC6C40800001265;2022110321;742
7CC6C40800001265;2022110322;745
7CC6C40800001265;2022110323;766
7CC6C40800001265;2022110400;748
7CC6C40800001265;2022110401;738
7CC6C40800001265;2022110402;730
7CC6C40800001265;2022110403;606
7CC6C40800001265;2022110404;834
7CC6C40800001265;2022110405;549
7CC6C40800001265;2022110406;485
7CC6C40800001265;2022110407;639
7CC6C40800001265;2022110408;783
7CC6C40800001265;2022110409;863
7CC6C40800001265;2022110410;881
7CC6C40800001265;2022110411;883
7CC6C40800001265;2022110412;883
7CC6C40800001265;2022110413;874
7CC6C40800001265;2022110414;858
7CC6C40800001265;2022110415;808
7CC6C40800001265;2022110416;783
7CC6C40800001265;2022110417;887
7CC6C40800001265;2022110418;768
7CC6C40800001265;2022110419;765
7CC6C40800001265;2022110420;767
7CC6C40800001265;2022110421;727
7CC6C40800001265;2022110422;722
7CC6C40800001265;2022110423;728
7CC6C40800001265;2022110500;731
7CC6C40800001265;2022110501;724
7CC6C40800001265;2022110502;720
7CC6C40800001265;2022110503;577
7CC6C40800001265;2022110504;539
7CC6C40800001265;2022110505;585
7CC6C40800001265;2022110506;584
7CC6C40800001265;2022110507;504
7CC6C40800001265;2022110508;615
7CC6C40800001265;2022110509;527
7CC6C40800001265;2022110510;628
7CC6C40800001265;2022110511;505
7CC6C40800001265;2022110512;493
7CC6C40800001265;2022110513;487
7CC6C40800001265;2022110514;478
7CC6C40800001265;2022110515;473
7CC6C40800001265;2022110516;489
7CC6C40800001265;2022110517;467
7CC6C40800001265;2022110518;471
7CC6C40800001265;2022110519;474
7CC6C40800001265;2022110520;389
7CC6C40800001265;2022110521;373
7CC6C40800001265;2022110522;381
7CC6C40800001265;2022110523;384
7CC6C40800001265;2022110600;464
7CC6C40800001265;2022110601;465
7CC6C40800001265;2022110602;385
7CC6C40800001265;2022110603;376
7CC6C40800001265;2022110604;436
7CC6C40800001265;2022110605;433
7CC6C40800001265;2022110606;373
7CC6C40800001265;2022110607;463
7CC6C40800001265;2022110608;545
7CC6C40800001265;2022110609;870
7CC6C40800001265;2022110610;815
7CC6C40800001265;2022110611;785
7CC6C40800001265;2022110612;751
7CC6C40800001265;2022110613;744
7CC6C40800001265;2022110614;758
7CC6C40800001265;2022110615;739
7CC6C40800001265;2022110616;735
7CC6C40800001265;2022110617;735
7CC6C40800001265;2022110618;737
7CC6C40800001265;2022110619;732
7CC6C40800001265;2022110620;715
7CC6C40800001265;2022110621;616
7CC6C40800001265;2022110622;603
7CC6C40800001265;2022110623;673
7CC6C40800001265;2022110700;531
7CC6C40800001265;2022110701;489
7CC6C40800001265;2022110702;469
7CC6C40800001265;2022110703;469
7CC6C40800001265;2022110704;488
7CC6C40800001265;2022110705;535
7CC6C40800001265;2022110706;479
7CC6C40800001265;2022110707;481
7CC6C40800001265;2022110708;521
7CC6C40800001265;2022110709;685
7CC6C40800001265;2022110710;758
7CC6C40800001265;2022110711;840
7CC6C40800001265;2022110712;639
7CC6C40800001265;2022110713;6
7CC6C40800001265;2022110714;5
7CC6C40800001265;2022110715;5
7CC6C40800001265;2022110716;6
7CC6C40800001265;2022110717;781
7CC6C40800001265;2022110718;806
7CC6C40800001265;2022110719;768
7CC6C40800001265;2022110720;742
7CC6C40800001265;2022110721;734
7CC6C40800001265;2022110722;731
7CC6C40800001265;2022110723;711
7CC6C40800001265;2022110800;596
7CC6C40800001265;2022110801;457
7CC6C40800001265;2022110802;428
7CC6C40800001265;2022110803;458
7CC6C40800001265;2022110804;442
7CC6C40800001265;2022110805;442
7CC6C40800001265;2022110806;440
